site,survey,species,count
East Depressions,1,snowy_plover,0
East Depressions,1,semipalmated_plover,0
East Depressions,1,killdeer,0
East Depressions,1,greater_yellowlegs,0
East Depressions,1,willet,0
East Depressions,1,spotted_sandpiper,1
East Depressions,1,whimbrel,0
East Depressions,1,long_billed_curlew,0
East Depressions,1,marbled_godwit,0
East Depressions,1,black_turnstone,0
East Depressions,1,sanderling,0
East Depressions,1,western_sandpiper,0
East Depressions,1,least_sandpiper,0
East Depressions,1,dunlin,0
East Depressions,2,black_bellied_plover,3
East Depressions,2,snowy_plover,0
East Depressions,2,semipalmated_plover,0
East Depressions,2,killdeer,2
East Depressions,2,greater_yellowlegs,2
East Depressions,2,willet,1
East Depressions,2,spotted_sandpiper,0
East Depressions,2,whimbrel,0
East Depressions,2,long_billed_curlew,0
East Depressions,2,marbled_godwit,0
East Depressions,2,black_turnstone,0
East Depressions,2,sanderling,116
East Depressions,2,western_sandpiper,0
East Depressions,2,least_sandpiper,0
East Depressions,2,dunlin,0
East Depressions,3,black_bellied_plover,7
East Depressions,3,snowy_plover,0
East Depressions,3,semipalmated_plover,0
East Depressions,3,killdeer,0
East Depressions,3,greater_yellowlegs,0
East Depressions,3,willet,0
East Depressions,3,spotted_sandpiper,0
East Depressions,3,whimbrel,1
East Depressions,3,long_billed_curlew,0
East Depressions,3,marbled_godwit,0
East Depressions,3,black_turnstone,0
East Depressions,3,sanderling,15
East Depressions,3,western_sandpiper,0
East Depressions,3,least_sandpiper,0
East Depressions,3,dunlin,0
East Goleta,1,black_bellied_plover,0
East Goleta,1,snowy_plover,0
East Goleta,1,semipalmated_plover,0
East Goleta,1,killdeer,0
East Goleta,1,greater_yellowlegs,0
East Goleta,1,willet,1
East Goleta,1,spotted_sandpiper,0
East Goleta,1,whimbrel,1
East Goleta,1,long_billed_curlew,1
East Goleta,1,marbled_godwit,0
East Goleta,1,black_turnstone,0
East Goleta,1,sanderling,0
East Goleta,1,western_sandpiper,0
East Goleta,1,least_sandpiper,0
East Goleta,1,dunlin,0
East Goleta,2,black_bellied_plover,0
East Goleta,2,snowy_plover,0
East Goleta,2,semipalmated_plover,0
East Goleta,2,killdeer,0
East Goleta,2,greater_yellowlegs,11
East Goleta,2,willet,0
East Goleta,2,spotted_sandpiper,1
East Goleta,2,whimbrel,0
East Goleta,2,long_billed_curlew,0
East Goleta,2,marbled_godwit,0
East Goleta,2,black_turnstone,0
East Goleta,2,sanderling,15
East Goleta,2,western_sandpiper,0
East Goleta,2,least_sandpiper,0
East Goleta,2,dunlin,0
East Goleta,3,black_bellied_plover,0
East Goleta,3,snowy_plover,0
East Goleta,3,semipalmated_plover,0
East Goleta,3,killdeer,0
East Goleta,3,greater_yellowlegs,6
East Goleta,3,willet,0
East Goleta,3,spotted_sandpiper,0
East Goleta,3,whimbrel,0
East Goleta,3,long_billed_curlew,9
East Goleta,3,marbled_godwit,0
East Goleta,3,black_turnstone,0
East Goleta,3,sanderling,0
East Goleta,3,western_sandpiper,0
East Goleta,3,least_sandpiper,0
East Goleta,3,dunlin,0
Hammonds,1,black_bellied_plover,0
Hammonds,1,snowy_plover,0
Hammonds,1,semipalmated_plover,0
Hammonds,1,killdeer,0
Hammonds,1,greater_yellowlegs,0
Hammonds,1,willet,0
Hammonds,1,spotted_sandpiper,2
Hammonds,1,whimbrel,0
Hammonds,1,long_billed_curlew,0
Hammonds,1,marbled_godwit,0
Hammonds,1,black_turnstone,0
Hammonds,1,sanderling,0
Hammonds,1,western_sandpiper,0
Hammonds,1,least_sandpiper,0
Hammonds,1,dunlin,0
Hammonds,2,black_bellied_plover,10
Hammonds,2,snowy_plover,0
Hammonds,2,semipalmated_plover,0
Hammonds,2,killdeer,0
Hammonds,2,greater_yellowlegs,0
Hammonds,2,willet,7
Hammonds,2,spotted_sandpiper,2
Hammonds,2,whimbrel,9
Hammonds,2,long_billed_curlew,0
Hammonds,2,marbled_godwit,0
Hammonds,2,black_turnstone,0
Hammonds,2,sanderling,0
Hammonds,2,western_sandpiper,0
Hammonds,2,least_sandpiper,0
Hammonds,2,dunlin,0
Hammonds,3,black_bellied_plover,1
Hammonds,3,snowy_plover,0
Hammonds,3,semipalmated_plover,0
Hammonds,3,killdeer,0
Hammonds,3,greater_yellowlegs,0
Hammonds,3,willet,5
Hammonds,3,spotted_sandpiper,0
Hammonds,3,whimbrel,1
Hammonds,3,long_billed_curlew,0
Hammonds,3,marbled_godwit,9
Hammonds,3,black_turnstone,0
Hammonds,3,sanderling,37
Hammonds,3,western_sandpiper,0
Hammonds,3,least_sandpiper,0
Hammonds,3,dunlin,0
Haskell's,1,black_bellied_plover,0
Haskell's,1,snowy_plover,0
Haskell's,1,semipalmated_plover,0
Haskell's,1,killdeer,3
Haskell's,1,greater_yellowlegs,0
Haskell's,1,willet,0
Haskell's,1,spotted_sandpiper,0
Haskell's,1,whimbrel,1
Haskell's,1,long_billed_curlew,0
Haskell's,1,marbled_godwit,0
Haskell's,1,black_turnstone,0
Haskell's,1,sanderling,0
Haskell's,1,western_sandpiper,0
Haskell's,1,least_sandpiper,2
Haskell's,1,dunlin,0
Haskell's,2,black_bellied_plover,0
Haskell's,2,snowy_plover,0
Haskell's,2,semipalmated_plover,0
Haskell's,2,killdeer,2
Haskell's,2,greater_yellowlegs,0
Haskell's,2,willet,0
Haskell's,2,spotted_sandpiper,0
Haskell's,2,whimbrel,2
Haskell's,2,long_billed_curlew,0
Haskell's,2,marbled_godwit,0
Haskell's,2,black_turnstone,0
Haskell's,2,sanderling,0
Haskell's,2,western_sandpiper,0
Haskell's,2,least_sandpiper,0
Haskell's,2,dunlin,0
Haskell's,3,black_bellied_plover,0
Haskell's,3,snowy_plover,0
Haskell's,3,semipalmated_plover,0
Haskell's,3,killdeer,0
Haskell's,3,greater_yellowlegs,1
Haskell's,3,willet,0
Haskell's,3,spotted_sandpiper,0
Haskell's,3,whimbrel,1
Haskell's,3,long_billed_curlew,0
Haskell's,3,marbled_godwit,0
Haskell's,3,black_turnstone,0
Haskell's,3,sanderling,0
Haskell's,3,western_sandpiper,0
Haskell's,3,least_sandpiper,0
Haskell's,3,dunlin,0
Hope Ranch,1,black_bellied_plover,0
Hope Ranch,1,snowy_plover,0
Hope Ranch,1,semipalmated_plover,0
Hope Ranch,1,killdeer,0
Hope Ranch,1,greater_yellowlegs,0
Hope Ranch,1,willet,0
Hope Ranch,1,spotted_sandpiper,1
Hope Ranch,1,whimbrel,0
Hope Ranch,1,long_billed_curlew,2
Hope Ranch,1,marbled_godwit,0
Hope Ranch,1,black_turnstone,0
Hope Ranch,1,sanderling,0
Hope Ranch,1,western_sandpiper,0
Hope Ranch,1,least_sandpiper,0
Hope Ranch,1,dunlin,0
Hope Ranch,2,black_bellied_plover,0
Hope Ranch,2,snowy_plover,0
Hope Ranch,2,semipalmated_plover,0
Hope Ranch,2,killdeer,0
Hope Ranch,2,greater_yellowlegs,0
Hope Ranch,2,willet,0
Hope Ranch,2,spotted_sandpiper,0
Hope Ranch,2,whimbrel,32
Hope Ranch,2,long_billed_curlew,2
Hope Ranch,2,marbled_godwit,5
Hope Ranch,2,black_turnstone,0
Hope Ranch,2,sanderling,0
